transaction_id,date,category,price,quantity,subtotal,discount_percent,discount_amount,total_amount,customer_segment,region,sales_channel,customer_satisfaction,return_customer,month,quarter,day_of_week,is_weekend
TXN_000001,2022-04-13,Home & Garden,371.29,3,1113.87,0.5,5.73,1108.14,Budget,South,Online,4.7,False,4,Q2,Wednesday,False
TXN_000002,2023-05-07,Beauty,75.05,4,300.19,4.4,13.11,287.08,Premium,Central,Retail Store,4.6,True,5,Q2,Sunday,True
TXN_000003,2023-11-13,Home & Garden,487.53,3,1462.6,33.3,487.07,975.53,Regular,East,Online,3.7,False,11,Q4,Monday,False
TXN_000004,2022-10-01,Home & Garden,326.71,2,653.42,6.0,39.37,614.05,Budget,Central,Online,3.7,False,10,Q4,Saturday,True
TXN_000005,2023-03-04,Sports,183.39,3,550.16,4.6,25.42,524.73,Budget,West,Online,5.0,False,3,Q1,Saturday,True
TXN_000006,2023-12-31,Home & Garden,385.58,2,771.16,17.0,131.25,639.9,Budget,West,Online,4.4,True,12,Q4,Sunday,True
TXN_000007,2022-02-22,Clothing,232.22,4,928.87,7.3,68.15,860.72,Regular,North,Online,2.2,True,2,Q1,Tuesday,False
TXN_000008,2023-05-14,Electronics,804.77,1,804.77,21.6,173.65,631.12,Budget,South,Online,2.3,False,5,Q2,Sunday,True
TXN_000009,2022-02-02,Toys,42.36,5,211.81,12.7,26.97,184.84,Budget,East,Retail Store,3.5,False,2,Q1,Wednesday,False
TXN_000010,2023-05-18,Toys,45.85,3,137.55,2.7,3.71,133.84,Regular,South,Online,3.4,True,5,Q2,Thursday,False
TXN_000011,2022-08-29,Home & Garden,197.41,4,789.65,13.2,104.29,685.36,Budget,Central,Retail Store,4.5,True,8,Q3,Monday,False
TXN_000012,2023-07-28,Electronics,150.97,4,603.87,3.1,18.43,585.44,Budget,East,Online,3.9,False,7,Q3,Friday,False
TXN_000013,2022-07-09,Electronics,522.59,1,522.59,13.4,69.78,452.81,Regular,West,Online,3.0,False,7,Q3,Saturday,True
TXN_000014,2022-08-13,Books,38.42,7,268.93,1.0,2.62,266.31,Premium,North,Retail Store,3.6,True,8,Q3,Saturday,True
TXN_000015,2022-09-25,Beauty,143.82,3,431.45,13.6,58.79,372.66,Regular,North,Mobile App,3.1,False,9,Q3,Sunday,True
TXN_000016,2023-09-30,Clothing,147.48,2,294.96,9.2,27.26,267.7,Budget,West,Online,3.1,True,9,Q3,Saturday,True
TXN_000017,2022-10-21,Sports,211.16,2,422.33,21.5,90.63,331.7,Regular,North,Online,5.0,True,10,Q4,Friday,False
TXN_000018,2023-02-07,Clothing,130.71,3,392.13,14.9,58.58,333.55,Regular,West,Mobile App,3.6,False,2,Q1,Tuesday,False
TXN_000019,2023-10-03,Books,33.87,1,33.87,13.9,4.7,29.17,Regular,South,Online,4.3,True,10,Q4,Tuesday,False
TXN_000020,2022-01-02,Electronics,208.4,4,833.58,7.0,58.12,775.47,Regular,East,Online,4.1,False,1,Q1,Sunday,True
TXN_000021,2022-07-27,Books,55.44,6,332.62,19.5,64.92,267.7,Budget,East,Mobile App,3.7,False,7,Q3,Wednesday,False
TXN_000022,2023-04-18,Books,119.52,2,239.04,3.4,8.04,231.0,Premium,East,Retail Store,4.9,False,4,Q2,Tuesday,False
TXN_000023,2023-02-02,Sports,53.27,7,372.88,8.8,32.99,339.89,Budget,West,Retail Store,2.1,False,2,Q1,Thursday,False
TXN_000024,2023-07-17,Beauty,137.12,3,411.35,13.0,53.32,358.03,Budget,West,Retail Store,3.8,True,7,Q3,Monday,False
TXN_000025,2023-10-21,Home & Garden,65.67,1,65.67,23.8,15.65,50.02,Premium,Central,Online,4.3,True,10,Q4,Saturday,True
TXN_000026,2022-10-29,Sports,133.12,4,532.49,6.7,35.74,496.75,Budget,Central,Online,3.6,False,10,Q4,Saturday,True
TXN_000027,2022-01-18,Electronics,737.68,2,1475.37,11.1,163.94,1311.43,Regular,South,Retail Store,4.5,True,1,Q1,Tuesday,False
TXN_000028,2022-09-03,Toys,51.1,7,357.72,27.8,99.56,258.16,Regular,South,Mobile App,3.5,False,9,Q3,Saturday,True
TXN_000029,2022-02-05,Sports,70.67,6,423.99,4.9,20.87,403.12,Budget,West,Retail Store,4.7,True,2,Q1,Saturday,True
TXN_000030,2022-07-09,Sports,582.56,2,1165.12,13.1,152.12,1013.0,Premium,East,Online,3.7,False,7,Q3,Saturday,True
TXN_000031,2023-09-12,Sports,242.02,2,484.05,11.9,57.74,426.31,Premium,East,Retail Store,2.6,True,9,Q3,Tuesday,False
TXN_000032,2023-08-27,Clothing,41.92,5,209.59,0.9,1.83,207.76,Premium,North,Retail Store,4.1,False,8,Q3,Sunday,True
TXN_000033,2022-04-06,Beauty,32.37,1,32.37,6.5,2.12,30.25,Regular,Central,Retail Store,5.0,False,4,Q2,Wednesday,False
TXN_000034,2022-03-17,Clothing,218.6,1,218.6,1.0,2.23,216.38,Premium,West,Online,4.4,False,3,Q1,Thursday,False
TXN_000035,2023-03-29,Home & Garden,33.15,2,66.3,15.4,10.21,56.09,Regular,West,Online,1.9,False,3,Q1,Wednesday,False
TXN_000036,2022-06-29,Toys,12.14,3,36.43,10.3,3.74,32.69,Regular,North,Retail Store,2.5,False,6,Q2,Wednesday,False
TXN_000037,2022-12-02,Toys,142.2,4,568.78,21.3,121.29,447.49,Regular,East,Mobile App,4.1,False,12,Q4,Friday,False
TXN_000038,2022-09-25,Books,67.43,2,134.86,2.5,3.4,131.46,Regular,Central,Online,4.9,True,9,Q3,Sunday,True
TXN_000039,2023-05-14,Clothing,168.99,1,168.99,22.4,37.89,131.11,Regular,Central,Mobile App,3.0,False,5,Q2,Sunday,True
TXN_000040,2023-02-17,Home & Garden,223.52,1,223.52,8.5,19.06,204.46,Regular,South,Retail Store,3.4,False,2,Q1,Friday,False
TXN_000041,2022-04-09,Home & Garden,201.71,3,605.13,6.0,36.04,569.09,Regular,Central,Online,4.6,True,4,Q2,Saturday,True
TXN_000042,2022-03-03,Home & Garden,417.57,2,835.13,0.3,2.26,832.87,Regular,East,Online,4.4,False,3,Q1,Thursday,False
